Critical Industry,Organisation size,Level of digital intensity,Cyber security role,Cyber security frameworks,Improper network segmentation,Inappropriate remote access,Absence of encryption,Number of users affected,Attack type,Attacker,Attack vector,Impact on data,Aspect of Confidentiality-Integrity-Availability triad affected,Attacker type
1,3,3,0,0,1,1,1,346,3,0,5,0,1,Unknown
0,3,0,0,0,2,1,2,266,1,0,7,0,1,Unknown
0,3,3,0,0,0,0,0,346,2,0,4,0,1,Phisher
1,3,3,0,0,1,0,1,346,1,0,2,0,1,Unknown
1,1,0,0,0,0,0,2,346,2,0,3,1,1,Insider or Physical theft
1,0,3,0,0,0,0,2,52,2,0,9,2,1,Insider or Physical theft
1,2,2,0,0,1,1,1,0,0,0,5,0,0,Cybercriminal group
0,2,3,0,0,2,0,2,346,0,0,8,0,1,Cybercriminal group
1,0,0,1,0,1,1,1,346,1,0,2,1,1,Unknown
1,3,3,0,0,1,1,1,241,4,0,8,2,1,Unknown
1,0,3,0,0,0,0,1,346,1,0,4,2,1,Phisher
0,0,2,0,0,2,0,0,103,0,0,5,2,1,Unknown
1,0,2,0,0,1,1,1,203,3,0,9,1,1,Third-party
1,0,2,1,0,2,2,1,218,3,0,1,2,1,Unknown
1,3,0,0,0,0,0,0,2,2,1,3,0,1,Unknown
0,0,0,0,0,1,1,1,267,3,0,5,2,1,Unknown
1,0,2,0,0,0,0,2,346,2,0,3,2,1,Unknown
1,0,2,0,0,1,1,1,38,3,0,5,1,1,Unknown
1,0,2,0,0,1,1,1,346,1,0,4,1,1,Phisher
1,3,2,0,0,1,1,1,114,3,0,5,0,1,Unknown
1,1,2,0,0,0,0,2,213,2,0,3,1,1,Insider or Physical theft
1,0,2,0,0,0,0,2,157,2,0,3,2,1,Unknown
1,0,0,0,0,1,1,1,346,3,0,1,0,1,Unknown
0,0,2,0,0,1,0,2,217,2,0,3,2,1,Insider or Physical theft
0,3,2,0,0,1,1,1,346,1,0,4,2,1,Phisher
1,0,0,0,0,0,0,2,106,1,1,0,0,1,Unknown
1,0,3,0,0,1,1,1,284,1,0,4,2,1,Phisher
1,0,0,0,0,1,1,1,346,1,0,4,1,1,Phisher
0,1,0,0,0,1,1,1,346,1,0,4,0,1,Phisher
1,1,2,0,0,1,0,1,123,1,0,5,0,1,Phisher
0,0,1,0,0,1,1,1,346,3,0,5,2,1,Unknown
0,0,1,0,0,0,0,2,346,0,0,2,0,1,Cybercriminal group
1,3,0,0,0,2,0,2,346,0,0,2,0,1,Cybercriminal group
0,3,3,0,0,1,0,2,346,3,0,5,0,1,Unknown
0,2,2,0,0,1,1,1,346,0,0,5,0,1,Cybercriminal group
1,0,0,0,0,1,0,2,346,3,0,5,1,1,Unknown
1,0,0,0,0,0,0,2,98,3,0,5,2,1,Unknown
